@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
533,'2019/10/24 11:54:40:947',2,110,126,0,0
534,'2019/10/24 11:54:40:980',2,91,146,0,0
535,'2019/10/24 11:54:41:014',2,89,161,0,0
536,'2019/10/24 11:54:41:048',2,107,171,0,0
537,'2019/10/24 11:54:41:081',2,143,177,0,0
538,'2019/10/24 11:54:41:114',2,167,169,0,0
539,'2019/10/24 11:54:41:148',2,170,143,0,0
540,'2019/10/24 11:54:41:182',2,145,110,0,0
541,'2019/10/24 11:54:41:216',2,122,101,0,0
542,'2019/10/24 11:54:41:250',2,95,114,0,0
543,'2019/10/24 11:54:41:284',2,76,144,0,0
544,'2019/10/24 11:54:41:317',2,77,179,0,0
545,'2019/10/24 11:54:41:351',2,92,195,0,0
546,'2019/10/24 11:54:41:385',2,120,200,0,0
547,'2019/10/24 11:54:41:418',2,140,188,0,0
548,'2019/10/24 11:54:41:452',2,136,161,0,0
549,'2019/10/24 11:54:41:486',2,121,139,0,0
550,'2019/10/24 11:54:41:520',2,94,141,0,0
551,'2019/10/24 11:54:41:554',2,77,164,0,0
552,'2019/10/24 11:54:41:587',2,74,197,0,0
553,'2019/10/24 11:54:41:620',2,89,215,0,0
554,'2019/10/24 11:54:41:655',2,113,219,0,0
555,'2019/10/24 11:54:41:693',2,137,205,0,0
556,'2019/10/24 11:54:41:724',2,131,173,0,0
557,'2019/10/24 11:54:41:767',2,113,149,0,0
558,'2019/10/24 11:54:41:792',2,97,146,0,0
559,'2019/10/24 11:54:41:828',2,76,171,0,0
560,'2019/10/24 11:54:41:858',2,73,192,0,0
561,'2019/10/24 11:54:41:893',2,102,207,0,0
562,'2019/10/24 11:54:41:926',2,138,205,0,0
563,'2019/10/24 11:54:41:962',2,149,175,0,0
564,'2019/10/24 11:54:41:996',2,131,140,0,0
565,'2019/10/24 11:54:42:030',2,101,124,0,0
566,'2019/10/24 11:54:42:064',2,85,143,0,0
